id,대분류코드,대분류명,항목,파일명,검색키워드,보유확장자,링크
312,04_T데스크,T데스크,AS4_레터헤드,AS4_레터헤드_PANTONE,"T데스크, 레터헤드",AI(1),https://drive.google.com/drive/folders/1K_TzogpmU7uGpjHKcsLnutyrhqId_K1c?usp=sharing
313,04_T데스크,T데스크,AS4_레터헤드,AS4_레터헤드_CMYK,"T데스크, 레터헤드",AI(1),https://drive.google.com/drive/folders/1K_TzogpmU7uGpjHKcsLnutyrhqId_K1c?usp=sharing
314,04_T데스크,T데스크,AS5_명찰,AS5_명찰_PANTONE,"T데스크, 명찰",AI(1),https://drive.google.com/drive/folders/1cNBqOFEuAhBGS_OGmKZi9Cejfb5M0MC0?usp=sharing
315,04_T데스크,T데스크,AS5_명찰,AS5_명찰_CMYK,"T데스크, 명찰",AI(1),https://drive.google.com/drive/folders/1cNBqOFEuAhBGS_OGmKZi9Cejfb5M0MC0?usp=sharing
316,04_T데스크,T데스크,AS6_티셔츠,AS6_티셔츠_PANTONE,"T데스크, 티셔츠",AI(1),https://drive.google.com/drive/folders/1ohHE75xRKdgmCFtgEguhhH1HIND7eVZt?usp=sharing
317,04_T데스크,T데스크,AS6_티셔츠,AS6_티셔츠_CMYK,"T데스크, 티셔츠",AI(1),https://drive.google.com/drive/folders/1ohHE75xRKdgmCFtgEguhhH1HIND7eVZt?usp=sharing
318,04_T데스크,T데스크,AS7_멤버십카드,AS7_멤버십카드_PANTONE,"T데스크, 멤버십카드",AI(1),https://drive.google.com/drive/folders/1y8qYiiD3MrypOkgDWBWiOjYvIl8WTjn8?usp=sharing
319,04_T데스크,T데스크,AS7_멤버십카드,AS7_멤버십카드_CMYK,"T데스크, 멤버십카드",AI(1),https://drive.google.com/drive/folders/1y8qYiiD3MrypOkgDWBWiOjYvIl8WTjn8?usp=sharing
320,04_T데스크,T데스크,AD1_현수막(가로형),AD1_현수막(가로형)_PANTONE,"T데스크, 가로형, 현수막",AI(1),https://drive.google.com/drive/folders/1GTQOLV0SbV6MJO1ScqE940ngbpweSsqn?usp=sharing
321,04_T데스크,T데스크,AD1_현수막(가로형),AD1_현수막(가로형)_CMYK,"T데스크, 가로형, 현수막",AI(1),https://drive.google.com/drive/folders/1GTQOLV0SbV6MJO1ScqE940ngbpweSsqn?usp=sharing
322,04_T데스크,T데스크,AD2_현수막(세로형),AD2_현수막(세로형)_PANTONE,"T데스크, 세로형, 현수막",AI(1),https://drive.google.com/drive/folders/1Jgy74AvnbNG4xmYOajq23y0BGKvuE2ON?usp=sharing
323,04_T데스크,T데스크,AD2_현수막(세로형),AD2_현수막(세로형)_CMYK,"T데스크, 세로형, 현수막",AI(1),https://drive.google.com/drive/folders/1Jgy74AvnbNG4xmYOajq23y0BGKvuE2ON?usp=sharing
324,04_T데스크,T데스크,AD3_X배너,AD3_X배너_PANTONE,"T데스크, X배너",AI(1),https://drive.google.com/drive/folders/1FlCdXyG71_i9eCDBAhETEr8q6lhkwuY5?usp=sharing
